"feature_id","feature","story_id","user_story","expected_behavior_based_on_code","source_evidence","test_performed","initial_result","errors_documented","fix_applied","post_fix_retest","status"
"F01","Skill activation and routing","US01","As an assistant user, I want Qlik questions to activate the QlikSense skill so responses use the Qlik-specific workflow.","SKILL.md declares the QlikSense skill scope and directs Qlik lookups through the retrieval tool.","SKILL.md; README.md","Read SKILL.md and README.md.","Pass.","None.","None required.","Current SKILL.md and README.md contain Qlik scope and usage routing.","Pass"
"F01","Skill activation and routing","US02","As an assistant user, I want the skill to distinguish backend script work from frontend expression work so advice is context-correct.","SKILL.md separates Backend Data Load Script/ETL from Frontend Chart Expressions/UI and lists context-specific functions.","SKILL.md","Read SKILL.md backend/frontend sections.","Pass.","None.","None required.","Backend/frontend distinction is present and explicit.","Pass"
"F02","Tool-first retrieval ladder","US03","As an assistant user, I want the skill to prefer MCP retrieval so it does not load whole reference files unnecessarily.","SKILL.md instructs use of qlik_knowledge_search first when available.","SKILL.md; tool/qlik_mcp_server.py","Inspected SKILL.md and MCP server tools.","Pass.","None.","None required.","MCP tools expose qlik_knowledge_search and qlik_knowledge_domains.","Pass"
"F02","Tool-first retrieval ladder","US04","As an assistant user, I want a same-session CLI fallback when MCP tools are unavailable.","SKILL.md points to tool/qlik_search.py; qlik_search.py calls the same qlik_index.search core.","SKILL.md; tool/qlik_search.py; tool/qlik_index.py",".\tool\.venv\Scripts\python.exe .\tool\qlik_search.py ""Sum with TOTAL qualifier syntax"" --domain frontend --top-k 2","Initial CLI search worked for ASCII content but another query failed on Windows encoding.","UnicodeEncodeError on cp1252 console when result text contained Unicode arrows.","Configured CLI stdout/stderr to UTF-8 with replacement-safe errors.","Search retest returned 2 frontend passages successfully.","Pass"
"F03","Reference corpus coverage","US05","As a Qlik developer, I want backend scripting guidance available for LOADs, joins, ApplyMap, QVDs, and Section Access.","The references folder includes scripting_knowledgebase.md and advanced scripting/datamodel/QVD files.","references/*.md; README.md","Read file inventory and README coverage table.","Pass.","None.","None required.","Backend references are present and indexed by chunk generation.","Pass"
"F03","Reference corpus coverage","US06","As a Qlik developer, I want frontend expression guidance available for Set Analysis, Aggr, TOTAL, and visualisation design.","The references folder includes expression_knowledgebase.md, functions_setanalysis.md, functions_operators_aggregation.md, and visualization_guide.md.","references/*.md; README.md","Read file inventory and README coverage table.","Pass.","None.","None required.","Frontend and visualisation references are present and indexed by chunk generation.","Pass"
"F04","Chunk generation","US07","As a maintainer, I want references split into heading-based chunks so retrieval can cite focused passages.","build_chunks.py parses markdown headings and writes JSONL chunks with source, heading path, tags, and text.","tool/build_chunks.py",".\tool\.venv\Scripts\python.exe .\tool\build_chunks.py references tool\chunks_test.jsonl","Pass: generated 498 chunks, about 60443 corpus tokens, median about 98 tokens.","None.","None required.","Temporary test file was removed after verification.","Pass"
"F04","Chunk generation","US08","As a maintainer, I want chunk tags to support domain filtering.","build_chunks.py derives source-domain and keyword tags such as functions, advanced, qvd, performance, and section-access.","tool/build_chunks.py; tool/chunks.jsonl","Generated chunks and inspected code path for derive_tags.","Pass.","None.","None required.","Generated chunk count matched shipped chunks.jsonl count of 498.","Pass"
"F05","Domain filters","US09","As a CLI user, I want to list available domains before searching.","qlik_search.py --domains prints qlik_index.DOMAINS.","tool/qlik_search.py; tool/qlik_index.py",".\tool\.venv\Scripts\python.exe .\tool\qlik_search.py --domains","Pass: listed backend, frontend, functions, advanced, debugging, visualisation, komment, set-analysis, qvd, section-access, performance.","None.","None required.","Retest remained pass after fixes.","Pass"
"F05","Domain filters","US10","As a search user, I want domain filters to limit results to the requested knowledge area.","qlik_index._search_chroma and JSONL fallback filter hits by metadata tags.","tool/qlik_index.py",".\tool\.venv\Scripts\python.exe .\tool\qlik_search.py ""Sum with TOTAL qualifier syntax"" --domain frontend --top-k 2","Pass after fixes: returned frontend expression passages.","Initial Chroma path issues could prevent search before fallback.","Added JSONL fallback when Chroma is unavailable/read-only.","Retest returned 2 frontend passages.","Pass"
"F06","Shared search core","US11","As a tool maintainer, I want CLI and MCP search to share one implementation so behavior stays consistent.","qlik_search.py and qlik_mcp_server.py both call qlik_index.search and qlik_index.format_hits.","tool/qlik_search.py; tool/qlik_mcp_server.py; tool/qlik_index.py","Import-based syntax check with PYTHONDONTWRITEBYTECODE=1.","Pass: imports ok.","py_compile could not update locked pycache files from prior interrupted run.","Used import-based syntax check to avoid generated pycache mutation; code paths import cleanly.","imports ok.","Pass"
"F06","Shared search core","US12","As a search user, I want useful results even when Chroma cannot open its SQLite database.","qlik_index.search falls back to chunks.jsonl lexical retrieval on Chroma exceptions and expands common user synonyms such as upsert to corpus terms.","tool/qlik_index.py",".\tool\.venv\Scripts\python.exe .\tool\qlik_search.py ""incremental reload upsert pattern"" --domain advanced --top-k 2","Initially search survived Chroma issues, but upsert wording returned append-only before insert/update patterns.","Chroma disk I/O/read-only errors in this environment; lexical scorer did not understand upsert as insert/update wording.","Added deterministic JSONL fallback plus upsert synonym expansion to insert/update corpus terms.","Retest returned Pattern 4: Insert, Update and Delete first, then Pattern 3: Insert and Update.","Pass"
"F07","Chroma index build","US13","As a maintainer, I want to build a local Chroma index from chunks.jsonl.","build_index.py loads chunks and creates a Chroma collection named qlik_knowledge.","tool/build_index.py",".\tool\.venv\Scripts\python.exe .\tool\build_index.py --backend chroma --chunks .\tool\chunks.jsonl","Initially failed under workspace path with Chroma disk I/O error.","Workspace-local SQLite was unreliable for Chroma in this environment.","Changed default index location to LOCALAPPDATA cache and created parent directories before Chroma startup.","Retest built 498 chunks to C:\Users\sean_\AppData\Local\qlik-ai-skill\index\chroma_db.","Pass"
"F07","Chroma index build","US14","As a maintainer, I want rebuilds in alternate output directories to reuse the bundled local ONNX model.","build_index.py passes LocalONNXEmbeddingFunction a model dir, and qlik_index validates complete ONNX model files.","tool/build_index.py; tool/qlik_index.py","Built index to a temp output directory during diagnosis.","Initially attempted network download when alternate outdir had an incomplete model folder.","Incomplete outdir/model folder was treated as valid because only folder existence was checked.","Added _model_ready check for required ONNX files and fallback to bundled tool/model.","Retest built temp index successfully with 498 chunks and no model download.","Pass"
"F08","CLI search","US15","As a CLI user, I want a query to print formatted passages with source and heading path.","qlik_search.py parses query/domain/top-k and prints qlik_index.format_hits output.","tool/qlik_search.py; tool/qlik_index.py",".\tool\.venv\Scripts\python.exe .\tool\qlik_search.py ""incremental reload upsert pattern"" --domain advanced --top-k 2","Initially failed due Chroma path/read-only and encoding; later upsert query returned less relevant append-only result first.","Chroma unavailable in sandbox; cp1252 UnicodeEncodeError; upsert user wording did not map to insert/update reference terminology.","Added JSONL fallback, UTF-8/replacement-safe CLI output, and upsert synonym expansion.","Retest returned formatted passages with source and heading path; upsert query returned insert/update patterns first.","Pass"
"F08","CLI search","US16","As a CLI user, I want missing query input to fail fast with argparse guidance.","qlik_search.py calls ap.error when no query is supplied and --domains is not used.","tool/qlik_search.py","Code inspection of main() argument validation.","Pass by code inspection.","None.","None required.","Behavior is enforced by argparse branch.","Pass"
"F09","MCP server","US17","As an MCP host user, I want a qlik_knowledge_search tool that returns relevant passages.","qlik_mcp_server.py exposes qlik_knowledge_search and catches ToolNotReady with setup guidance.","tool/qlik_mcp_server.py","Imported qlik_mcp_server and called qlik_knowledge_search('section access uppercase rules', 1, 'section-access').","Pass: returned 'Found 1 passage(s)' output.","None after search-core fallback fixes.","Search-core fixes apply to MCP because it uses qlik_index.search.","Retest returned one section-access passage.","Pass"
"F09","MCP server","US18","As an MCP host user, I want a qlik_knowledge_domains tool that lists filters.","qlik_mcp_server.py exposes qlik_knowledge_domains from qlik_index.DOMAINS.","tool/qlik_mcp_server.py","Imported qlik_mcp_server and called qlik_knowledge_domains().","Pass: returned 'Available domains for qlik_knowledge_search:'.","None.","None required.","Retest passed.","Pass"
"F10","Setup bootstrap","US19","As a new user, I want setup.py to create dependencies and build the retrieval index with one command.","setup.py creates venv, installs requirements, regenerates chunks if missing, and builds Chroma index.","tool/setup.py",".\tool\.venv\Scripts\python.exe .\tool\setup.py","Failed when Chroma was launched by setup against a read-only/default or workspace fallback index path in this sandbox.","Chroma child process returned readonly database/disk I/O errors; raw traceback leaked into setup output before fallback handling.","Setup now probes the default index path, attempts a workspace fallback, captures index-build output, and completes cleanly with bundled chunks.jsonl fallback when Chroma is blocked.","Retest exited 0, printed DONE, and reported JSONL fallback mode without traceback.","Pass"
"F10","Setup bootstrap","US20","As a new user, I want setup.py to print an MCP registration command using the correct index path.","setup.py prints an MCP registration command using QLIK_INDEX_DIR when Chroma build succeeds, or a fallback-mode command without QLIK_INDEX_DIR when Chroma is blocked.","tool/setup.py",".\tool\.venv\Scripts\python.exe .\tool\setup.py","Old setup assumed a Chroma index path would always be available.","When Chroma build was blocked, printing a failed QLIK_INDEX_DIR would point users at a broken partial index.","Conditionally print QLIK_INDEX_DIR only after a successful Chroma build; otherwise print fallback-mode MCP instructions.","Retest printed fallback-mode MCP command without QLIK_INDEX_DIR.","Pass"
"F11","pgvector backend","US21","As a team user, I want an optional pgvector backend for a centrally hosted shared index.","build_index.py supports --backend pgvector and qlik_index uses DATABASE_URL for pgvector search.","tool/build_index.py; tool/qlik_index.py","Code inspection of pgvector backend paths.","Pass by code inspection; no live database configured.","No DATABASE_URL or PostgreSQL pgvector service is available in this workspace.","None required for local app behavior; external integration remains configuration-dependent.","Graceful missing-config path exists through ToolNotReady for pgvector search.","Pass"
"F11","pgvector backend","US22","As a misconfigured pgvector user, I want a clear error when DATABASE_URL is missing.","qlik_index._search_pgvector raises ToolNotReady when DATABASE_URL is absent.","tool/qlik_index.py","Code inspection of _search_pgvector.","Pass by code inspection.","No live pgvector DB available for end-to-end query.","None required.","Missing DATABASE_URL behavior is explicit in code.","Pass"
"F12","Documentation and maintenance","US23","As a maintainer, I want README/tool README to explain install, usage, maintenance, and the purpose of each file.","README.md and tool/README.md document structure, setup, quick start, backends, registration, and maintenance.","README.md; tool/README.md; CLAUDE.md","Read README.md, tool/README.md, and CLAUDE.md; inspected setup.py and build_index.py help strings after fallback-mode fixes.","Initially found doc drift after cache-path code change and stale Chroma/model wording.","Docs and comments still described workspace-local chroma_db/bge-small in some places and did not explain setup fallback mode.","Updated root README, tool README, CLAUDE.md, setup output, and build_index help strings to describe user-cache index, all-MiniLM-L6-v2, and JSONL fallback mode.","Docs, setup output, and maintenance guide now describe cache/default index behavior, correct model name, and fallback mode.","Pass"
"F12","Documentation and maintenance","US24","As a maintainer, I want the canonical spreadsheet to track feature status, user stories, tests, errors, fixes, and retests.","This CSV is the single canonical feature tracker requested by the user.","feature_status.csv","Copied OLD_feature_status.csv to feature_status.csv, then updated current test/fix evidence in the canonical file.","Canonical file was missing; only OLD_feature_status.csv existed.","The tracker row referenced feature_status.csv before that file existed.","Created feature_status.csv as the canonical tracker and removed OLD_feature_status.csv after approval.","feature_status.csv exists, OLD_feature_status.csv is absent, and the file contains status, tests, errors, fixes, and retest columns.","Pass"
